title,timestamp,search_count,date_collected
Air conditioner,2021-02-21 00:00:00,37,2024-02-10 14:50:20.516815
Air conditioner,2021-02-28 00:00:00,41,2024-02-10 14:50:20.516816
Air conditioner,2021-03-07 00:00:00,33,2024-02-10 14:50:20.516817
Air conditioner,2021-03-14 00:00:00,35,2024-02-10 14:50:20.516817
Air conditioner,2021-03-21 00:00:00,35,2024-02-10 14:50:20.516818
Air conditioner,2021-03-28 00:00:00,52,2024-02-10 14:50:20.516819
Air conditioner,2021-04-04 00:00:00,48,2024-02-10 14:50:20.516819
Air conditioner,2021-04-11 00:00:00,60,2024-02-10 14:50:20.516820
Air conditioner,2021-04-18 00:00:00,32,2024-02-10 14:50:20.516820
Air conditioner,2021-04-25 00:00:00,40,2024-02-10 14:50:20.516821
Air conditioner,2021-05-02 00:00:00,44,2024-02-10 14:50:20.516821
Air conditioner,2021-05-09 00:00:00,43,2024-02-10 14:50:20.516822
Air conditioner,2021-05-16 00:00:00,33,2024-02-10 14:50:20.516823
Air conditioner,2021-05-23 00:00:00,84,2024-02-10 14:50:20.516823
Air conditioner,2021-05-30 00:00:00,65,2024-02-10 14:50:20.516824
Air conditioner,2021-06-06 00:00:00,70,2024-02-10 14:50:20.516824
Air conditioner,2021-06-13 00:00:00,56,2024-02-10 14:50:20.516825
Air conditioner,2021-06-20 00:00:00,42,2024-02-10 14:50:20.516826
Air conditioner,2021-06-27 00:00:00,38,2024-02-10 14:50:20.516826
Air conditioner,2021-07-04 00:00:00,53,2024-02-10 14:50:20.516827
Air conditioner,2021-07-11 00:00:00,44,2024-02-10 14:50:20.516828
Air conditioner,2021-07-18 00:00:00,56,2024-02-10 14:50:20.516828
Air conditioner,2021-07-25 00:00:00,62,2024-02-10 14:50:20.516829
Air conditioner,2021-08-01 00:00:00,41,2024-02-10 14:50:20.516830
Air conditioner,2021-08-08 00:00:00,51,2024-02-10 14:50:20.516830
Air conditioner,2021-08-15 00:00:00,37,2024-02-10 14:50:20.516831
Air conditioner,2021-08-22 00:00:00,35,2024-02-10 14:50:20.516831
Air conditioner,2021-08-29 00:00:00,31,2024-02-10 14:50:20.516832
Air conditioner,2021-09-05 00:00:00,20,2024-02-10 14:50:20.516832
Air conditioner,2021-09-12 00:00:00,36,2024-02-10 14:50:20.516833
Air conditioner,2021-09-19 00:00:00,39,2024-02-10 14:50:20.516834
Air conditioner,2021-09-26 00:00:00,37,2024-02-10 14:50:20.516834
Air conditioner,2021-10-03 00:00:00,37,2024-02-10 14:50:20.516835
Air conditioner,2021-10-10 00:00:00,62,2024-02-10 14:50:20.516836
Air conditioner,2021-10-17 00:00:00,41,2024-02-10 14:50:20.516836
Air conditioner,2021-10-24 00:00:00,32,2024-02-10 14:50:20.516837
Air conditioner,2021-10-31 00:00:00,31,2024-02-10 14:50:20.516837
Air conditioner,2021-11-07 00:00:00,34,2024-02-10 14:50:20.516838
Air conditioner,2021-11-14 00:00:00,39,2024-02-10 14:50:20.516838
Air conditioner,2021-11-21 00:00:00,35,2024-02-10 14:50:20.516839
Air conditioner,2021-11-28 00:00:00,44,2024-02-10 14:50:20.516840
Air conditioner,2021-12-05 00:00:00,25,2024-02-10 14:50:20.516840
Air conditioner,2021-12-12 00:00:00,35,2024-02-10 14:50:20.516841
Air conditioner,2021-12-19 00:00:00,32,2024-02-10 14:50:20.516841
Air conditioner,2021-12-26 00:00:00,32,2024-02-10 14:50:20.516842
Air conditioner,2022-01-02 00:00:00,33,2024-02-10 14:50:20.516843
Air conditioner,2022-01-09 00:00:00,36,2024-02-10 14:50:20.516843
Air conditioner,2022-01-16 00:00:00,37,2024-02-10 14:50:20.516844
Air conditioner,2022-01-23 00:00:00,32,2024-02-10 14:50:20.516844
Air conditioner,2022-01-30 00:00:00,40,2024-02-10 14:50:20.516845
Air conditioner,2022-02-06 00:00:00,42,2024-02-10 14:50:20.516846
Air conditioner,2022-02-13 00:00:00,26,2024-02-10 14:50:20.516846
Air conditioner,2022-02-20 00:00:00,39,2024-02-10 14:50:20.516847
Air conditioner,2022-02-27 00:00:00,29,2024-02-10 14:50:20.516848
Air conditioner,2022-03-06 00:00:00,36,2024-02-10 14:50:20.516848
Air conditioner,2022-03-13 00:00:00,46,2024-02-10 14:50:20.516849
Air conditioner,2022-03-20 00:00:00,49,2024-02-10 14:50:20.516849
Air conditioner,2022-03-27 00:00:00,49,2024-02-10 14:50:20.516850
Air conditioner,2022-04-03 00:00:00,39,2024-02-10 14:50:20.516851
Air conditioner,2022-04-10 00:00:00,41,2024-02-10 14:50:20.516851
Air conditioner,2022-04-17 00:00:00,44,2024-02-10 14:50:20.516852
Air conditioner,2022-04-24 00:00:00,38,2024-02-10 14:50:20.516852
Air conditioner,2022-05-01 00:00:00,47,2024-02-10 14:50:20.516853
Air conditioner,2022-05-08 00:00:00,63,2024-02-10 14:50:20.516853
Air conditioner,2022-05-15 00:00:00,63,2024-02-10 14:50:20.516854
Air conditioner,2022-05-22 00:00:00,59,2024-02-10 14:50:20.516855
Air conditioner,2022-05-29 00:00:00,60,2024-02-10 14:50:20.516855
Air conditioner,2022-06-05 00:00:00,37,2024-02-10 14:50:20.516856
Air conditioner,2022-06-12 00:00:00,47,2024-02-10 14:50:20.516857
Air conditioner,2022-06-19 00:00:00,42,2024-02-10 14:50:20.516857
Air conditioner,2022-06-26 00:00:00,48,2024-02-10 14:50:20.516858
Air conditioner,2022-07-03 00:00:00,64,2024-02-10 14:50:20.516859
Air conditioner,2022-07-10 00:00:00,61,2024-02-10 14:50:20.516859
Air conditioner,2022-07-17 00:00:00,70,2024-02-10 14:50:20.516860
Air conditioner,2022-07-24 00:00:00,53,2024-02-10 14:50:20.516860
Air conditioner,2022-07-31 00:00:00,49,2024-02-10 14:50:20.516861
Air conditioner,2022-08-07 00:00:00,55,2024-02-10 14:50:20.516862
Air conditioner,2022-08-14 00:00:00,39,2024-02-10 14:50:20.516862
Air conditioner,2022-08-21 00:00:00,42,2024-02-10 14:50:20.516863
Air conditioner,2022-08-28 00:00:00,40,2024-02-10 14:50:20.516863
Air conditioner,2022-09-04 00:00:00,34,2024-02-10 14:50:20.516864
Air conditioner,2022-09-11 00:00:00,40,2024-02-10 14:50:20.516865
Air conditioner,2022-09-18 00:00:00,40,2024-02-10 14:50:20.516865
Air conditioner,2022-09-25 00:00:00,36,2024-02-10 14:50:20.516866
Air conditioner,2022-10-02 00:00:00,40,2024-02-10 14:50:20.516866
Air conditioner,2022-10-09 00:00:00,34,2024-02-10 14:50:20.516867
Air conditioner,2022-10-16 00:00:00,39,2024-02-10 14:50:20.516868
Air conditioner,2022-10-23 00:00:00,39,2024-02-10 14:50:20.516868
Air conditioner,2022-10-30 00:00:00,35,2024-02-10 14:50:20.516869
Air conditioner,2022-11-06 00:00:00,33,2024-02-10 14:50:20.516869
Air conditioner,2022-11-13 00:00:00,31,2024-02-10 14:50:20.516870
Air conditioner,2022-11-20 00:00:00,32,2024-02-10 14:50:20.516870
Air conditioner,2022-11-27 00:00:00,39,2024-02-10 14:50:20.516871
Air conditioner,2022-12-04 00:00:00,33,2024-02-10 14:50:20.516872
Air conditioner,2022-12-11 00:00:00,23,2024-02-10 14:50:20.516872
Air conditioner,2022-12-18 00:00:00,37,2024-02-10 14:50:20.516873
Air conditioner,2022-12-25 00:00:00,22,2024-02-10 14:50:20.516873
Air conditioner,2023-01-01 00:00:00,30,2024-02-10 14:50:20.516874
Air conditioner,2023-01-08 00:00:00,22,2024-02-10 14:50:20.516875
Air conditioner,2023-01-15 00:00:00,40,2024-02-10 14:50:20.516875
Air conditioner,2023-01-22 00:00:00,35,2024-02-10 14:50:20.516876
Air conditioner,2023-01-29 00:00:00,33,2024-02-10 14:50:20.516876
Air conditioner,2023-02-05 00:00:00,34,2024-02-10 14:50:20.516877
Air conditioner,2023-02-12 00:00:00,40,2024-02-10 14:50:20.516878
Air conditioner,2023-02-19 00:00:00,30,2024-02-10 14:50:20.516878
Air conditioner,2023-02-26 00:00:00,28,2024-02-10 14:50:20.516879
Air conditioner,2023-03-05 00:00:00,35,2024-02-10 14:50:20.516879
Air conditioner,2023-03-12 00:00:00,34,2024-02-10 14:50:20.516880
Air conditioner,2023-03-19 00:00:00,31,2024-02-10 14:50:20.516880
Air conditioner,2023-03-26 00:00:00,43,2024-02-10 14:50:20.516881
Air conditioner,2023-04-02 00:00:00,41,2024-02-10 14:50:20.516882
Air conditioner,2023-04-09 00:00:00,59,2024-02-10 14:50:20.516882
